id,value
fragment, 460
android, 230
fragments, 107
activity, 105
how, 100
viewpager, 55
view, 38
inside, 37
change, 34
data, 34
navigation, 33
nullpointerexception, 32
drawer, 31
exception, 27
i, 27
button, 26
tabs, 25
tab, 25
working, 23
quot, 22
called, 19
asynctask, 18
add, 18
custom, 18
passing, 17
lang, 16
adding, 16
null, 16
listview, 15
views, 15
illegalstateexception, 15
pointer, 15
call, 14
textview, 14
calling, 13
app, 13
why, 13
orientation, 13
doesn, 12
findviewbyid, 12
multiple, 12
fragmentactivity, 12
action, 12
layout, 12
create, 12
fragmentpageradapter, 11
swipe, 11
actionbar, 11
java, 11
parent, 11
set, 11
menu, 11
dialog, 11
error, 11
can, 11
click, 10
screen, 10
nested, 10
fragmenttransaction, 10
created, 10
bar, 10
getting, 10
text, 10
map, 10
cannot, 10
the, 9
pager, 9
mainactivity, 9
application, 9
using, 9
not, 9
replace, 9
loading, 9
inflating, 9
dialogfragment, 9
fragmentstatepageradapter, 9
crash, 9
listfragment, 9
type, 9
objects, 8
adapter, 8
google, 8
list, 8
inflate, 8
state, 8
onclick, 8
fragmentmanager, 8
webview, 8
when, 8
display, 8
image, 8
context, 8
issue, 8
imageview, 8
access, 8
constructor, 8
returns, 7
destroyed, 7
handle, 7
updating, 7
edittext, 7
activities, 7
refresh, 7
rotation, 7
user, 7
listener, 7
content, 7
load, 7
is, 7
arraylist, 7
no, 7
fragmenttabhost, 7
switching, 7
replacing, 7
backstack, 7
support, 7
update, 7
get, 7
setting, 6
onactivityresult, 6
resolve, 6
remove, 6
changing, 6
oncreateview, 6
save, 6
top, 6
cast, 6
visible, 6
onclicklistener, 6
file, 6
return, 6
instance, 6
use, 6
errors, 6
current, 6
ui, 6
event, 6
reference, 6
xml, 5
close, 5
supportmapfragment, 5
tabhost, 5
extending, 5
api, 5
spinner, 5
item, 5
dynamically, 5
causing, 5
stack, 5
pass, 5
class, 5
nullpointer, 5
in, 5
sending, 5
to, 5
oncreate, 5
crashes, 5
viewgroup, 4
a, 4
crashing, 4
interface, 4
prevent, 4
running, 4
reload, 4
opening, 4
displayed, 4
illegalargumentexception, 4
runnable, 4
unable, 4
parameters, 4
start, 4
time, 4
studio, 4
saving, 4
widget, 4
undefined, 4
actionbaractivity, 4
values, 4
onsaveinstancestate, 4
alert, 4
showing, 4
camera, 4
bundle, 4
implementing, 4
transaction, 4
communication, 4
problems, 4
best, 4
accessing, 4
maps, 4
extends, 4
recreated, 4
b, 3
v, 3
empty, 3
making, 3
check, 3
child, 3
animation, 3
binary, 3
instantiate, 3
new, 3
buttons, 3
incompatible, 3
where, 3
apps, 3
duplicate, 3
string, 3
fragement, 3
npe, 3
progressdialog, 3
issues, 3
phone, 3
slide, 3
recyclerview, 3
sharedpreferences, 3
simple, 3
runtime, 3
transfer, 3
clear, 3
executing, 3
preference, 3
correctly, 3
won, 3
blank, 3
back, 3
title, 3
onlistitemclick, 3
json, 3
gt, 3
practice, 3
convert, 3
main, 3
selected, 3
thrown, 3
throws, 3
my, 3
attached, 3
switch, 3
keyboard, 3
savedinstancestate, 3
handler, 3
hiding, 3
drawing, 3
launch, 3
changed, 3
previous, 3
onresume, 3
throwing, 3
addtobackstack, 3
restart, 3
elements, 3
from, 3
inflateexception, 3
response, 3
variable, 3
reuse, 2
runtimeexception, 2
hashmap, 2
listviewadapter, 2
camerapreview, 2
+, 2
version, 2
gms, 2
result, 2
resolved, 2
concurrency, 2
component, 2
ondestroy, 2
initialize, 2
returned, 2
communicate, 2
logcat, 2
need, 2
perform, 2
portrait, 2
modify, 2
populate, 2
ioio, 2
swiping, 2
scrolling, 2
pressed, 2
getactivity, 2
onbackpressed, 2
onoptionsitemselected, 2
onattach, 2
login, 2
asked, 2
addview, 2
arrayadapter, 2
touch, 2
restoring, 2
design, 2
findfragmentbytag, 2
press, 2
slow, 2
notifydatasetchanged, 2
two, 2
pop, 2
does, 2
white, 2
onpause, 2
retaining, 2
overlay, 2
updated, 2
memory, 2
hidden, 2
updates, 2
convention, 2
what, 2
timepickerdialog, 2
imagebutton, 2
case, 2
images, 2
mediaplayer, 2
methods, 2
clicking, 2
more, 2
mapfragment, 2
wrong, 2
cursorloader, 2
notification, 2
radiobutton, 2
exiting, 2
package, 2
opened, 2
programatically, 2
volley, 2
move, 2
instantiated, 2
build, 2
bad, 2
depending, 2
bitmap, 2
laggy, 2
swipeable, 2
tags, 2
extend, 2
tabspageradapter, 2
intermediate, 2
keeping, 2
getarguments, 2
transition, 2
font, 2
getter, 2
do, 2
static, 2
mdrawer, 2
additional, 2
retrieving, 2
passed, 2
parse, 2
existing, 2
management, 2
getfragmentmanager, 2
avoid, 2
select, 2
fired, 2
contents, 2
strings, 2
listeners, 2
programmatically, 2
trigger, 2
hide, 2
overlapping, 2
placeholderfragment, 2
background, 2
retrieve, 2
setvisibility, 2
delete, 2
recreating, 2
heap, 2
on, 2
calendarview, 2
control, 2
callback, 2
commit, 2
newinstance, 2
reflect, 2
edit, 2
listadapter, 2
starting, 2
long, 2
resuming, 2
key, 2
variables, 2
manager, 2
loads, 2
mismatch, 2
admob, 2
preferencefragment, 2
displaying, 2
communicator, 2
myfragment, 2
implements, 2
installed, 2
proper, 2
gesture, 2
types, 2
scrollview, 2
location, 2
layouts, 2
otto, 2
radiogroup, 2
screens, 2
causes, 2
tag, 2
development, 2
replacement, 2
network, 2
parameter, 2
factory, 2
navigationdrawer, 2
