id,value
arraylist lt, 5
adding objects, 3
gt object, 3
java object, 3
arrays objects, 3
object gt, 3
lt object, 3
creating objects, 3
java array, 3
values java, 3
how create, 3
objects java, 2
mixed type, 2
java how, 2
printing objects, 2
how call, 2
how print, 2
objects arrays, 2
objects array, 2
txt file, 2
object arrays, 2
type object, 2
store objects, 2
create objects, 2
object array, 2
object java, 2
java objects, 2
text file, 2
storing values, 2
objects printing, 2
call methods, 2
integer gt, 2
read text, 2
convert arraylist, 2
multiple objects, 2
object object, 2
java using, 2
how java, 2
object arraylist, 2
file objects, 2
