id,value
hadoop, 223
how, 51
mapreduce, 43
apache, 37
file, 34
java, 32
map, 30
eclipse, 29
job, 29
reduce, 27
running, 24
jar, 22
quot, 22
org, 22
hbase, 21
hive, 21
error, 21
hdfs, 20
windows, 19
lang, 18
program, 18
data, 16
maven, 12
exception, 11
spring, 11
pig, 11
cluster, 11
spark, 11
files, 11
i, 10
namenode, 10
api, 9
using, 9
failed, 9
configuration, 9
mapper, 8
set, 8
client, 8
json, 8
filesystem, 7
not, 7
path, 7
jobs, 7
custom, 7
ubuntu, 7
connect, 6
write, 6
memory, 6
start, 6
format, 6
user, 6
test, 6
io, 6
is, 6
server, 6
streaming, 6
sort, 6
thread, 6
parsing, 6
noclassdeffounderror, 6
node, 6
mysql, 6
reading, 6
mahout, 6
building, 5
ioexception, 5
multiple, 5
install, 5
local, 5
unit, 5
source, 5
import, 5
what, 5
web, 5
process, 5
dfs, 5
load, 5
loading, 5
library, 5
no, 5
project, 5
installation, 5
reducer, 5
+, 4
cygwin, 4
address, 4
c++, 4
native, 4
working, 4
application, 4
datanode, 4
csv, 4
creating, 4
unable, 4
cascading, 4
yarn, 4
why, 4
debug, 4
build, 4
showing, 4
wordcount, 4
issue, 4
dependency, 4
mac, 4
table, 4
giraph, 4
problems, 4
installing, 4
execution, 4
partition, 4
single, 4
query, 4
records, 4
nutch, 4
connection, 4
cannot, 4
connecting, 4
jackson, 4
zookeeper, 3
shell, 3
classnotfoundexception, 3
interface, 3
directory, 3
called, 3
testing, 3
distributed, 3
system, 3
integration, 3
mode, 3
net, 3
specific, 3
mapred, 3
lib, 3
generics, 3
compile, 3
jdbc, 3
multi, 3
grouping, 3
wrong, 3
values, 3
nosuchmethoderror, 3
configuring, 3
jsonserde, 3
confusion, 3
getting, 3
mrunit, 3
permission, 3
gt, 3
setup, 3
bin, 3
invalid, 3
bindexception, 3
sqoop, 3
hcatalog, 3
access, 3
storm, 3
folders, 3
inside, 3
linux, 3
xd, 3
type, 3
osx, 3
permissions, 3
fail, 3
core, 3
accesscontrolexception, 3
security, 3
command, 3
remote, 2
setting, 2
xml, 2
ipc, 2
counters, 2
cdh, 2
version, 2
util, 2
calling, 2
x, 2
initialize, 2
hama, 2
empty, 2
add, 2
parser, 2
port, 2
emr, 2
vagrant, 2
fails, 2
message, 2
number, 2
tmp, 2
avro, 2
algorithm, 2
mapping, 2
snappy, 2
handle, 2
script, 2
framework, 2
php, 2
outputs, 2
read, 2
tool, 2
compiling, 2
merge, 2
app, 2
cache, 2
difference, 2
found, 2
refused, 2
jdk, 2
plugin, 2
totalorderpartitioner, 2
run, 2
secure, 2
ljava, 2
bolt, 2
fields, 2
submit, 2
string, 2
generic, 2
time, 2
double, 2
libhdfs, 2
receiving, 2
openjdk, 2
deserialize, 2
efficient, 2
oozie, 2
small, 2
protocol, 2
group, 2
package, 2
jni, 2
hangs, 2
created, 2
nullpointerexception, 2
requirements, 2
denied, 2
opencv, 2
scheme, 2
embedded, 2
column, 2
sample, 2
correctly, 2
solr, 2
home, 2
prompt, 2
httpclient, 2
bit, 2
elasticsearch, 2
nodemanager, 2
tasks, 2
python, 2
openx, 2
clients, 2
stand, 2
side, 2
could, 2
change, 2
biginsights, 2
lt, 2
while, 2
usr, 2
mr, 2
inputformat, 2
recordreader, 2
errors, 2
pigserver, 2
best, 2
sql, 2
heap, 2
unknownhostexception, 2
os, 2
determine, 2
master, 2
clustering, 2
ssl, 2
accessing, 2
module, 2
execute, 2
secondary, 2
programs, 2
starting, 2
serde, 2
tuplestream, 2
commands, 2
classcastexception, 2
finding, 2
failure, 2
vm, 2
staging, 2
allocation, 2
step, 2
conf, 2
optimization, 2
phase, 2
scalding, 2
range, 2
get, 2
caused, 2
filter, 2
jedis, 2
space, 2
create, 2
tasktracker, 2
sequence, 2
safe, 2
scala, 2
implementation, 2
variable, 2
jobcontrol, 2
