id,value
hadoop, 196
mapreduce, 122
how, 48
map, 44
job, 44
reducer, 38
reduce, 36
file, 28
program, 26
mapper, 23
running, 23
hbase, 19
java, 17
files, 17
multiple, 15
lang, 14
key, 14
apache, 14
error, 14
custom, 12
task, 12
data, 12
jobs, 11
hdfs, 11
exception, 10
api, 10
org, 10
gt, 9
format, 9
i, 8
text, 8
write, 8
quot, 8
yarn, 8
set, 7
cassandra, 7
what, 7
can, 7
wordcount, 6
tasks, 6
io, 6
lt, 6
cache, 6
run, 6
container, 6
failed, 6
ioexception, 5
list, 5
output, 5
join, 5
distributed, 5
is, 5
table, 5
heap, 5
single, 5
classcastexception, 5
memory, 5
mahout, 5
column, 4
reducers, 4
count, 4
check, 4
external, 4
classnotfoundexception, 4
multipleinputs, 4
counter, 4
nodes, 4
avro, 4
use, 4
function, 4
errors, 4
application, 4
cluster, 4
jar, 4
execute, 4
types, 4
passing, 4
usage, 4
word, 4
hive, 4
oozie, 4
eclipse, 4
values, 4
bad, 3
objects, 3
setting, 3
path, 3
xml, 3
runtimeexception, 3
pass, 3
am, 3
size, 3
spark, 3
configuring, 3
initialize, 3
inputs, 3
chaining, 3
programming, 3
doesn, 3
directory, 3
mrunit, 3
class, 3
setup, 3
called, 3
number, 3
tables, 3
issue, 3
large, 3
side, 3
implementing, 3
jars, 3
integer, 3
keys, 3
times, 3
row, 3
control, 3
mapwritable, 3
partitioning, 3
iterator, 3
node, 3
difference, 3
processing, 3
where, 3
records, 3
common, 3
reading, 3
when, 3
failing, 3
get, 3
chain, 3
space, 3
sequence, 3
mappers, 3
command, 3
variable, 3
arguments, 3
remote, 2
record, 2
hashmap, 2
counters, 2
cdh, 2
+, 2
schema, 2
k, 2
combiner, 2
v, 2
empty, 2
getting, 2
load, 2
fails, 2
connectexception, 2
perform, 2
false, 2
showing, 2
convert, 2
context, 2
block, 2
flow, 2
order, 2
twodarraywritable, 2
system, 2
driver, 2
qualifier, 2
longwritable, 2
status, 2
mapfile, 2
server, 2
longest, 2
defining, 2
instance, 2
pig, 2
mode, 2
split, 2
mb, 2
fine, 2
workflow, 2
mr, 2
inputformat, 2
filenotfoundexception, 2
sort, 2
my, 2
throws, 2
recordreader, 2
working, 2
specific, 2
compilation, 2
datanode, 2
splits, 2
composite, 2
defined, 2
based, 2
using, 2
inputsplit, 2
input, 2
access, 2
scan, 2
writable, 2
current, 2
default, 2
distribute, 2
refused, 2
launch, 2
store, 2
ibm, 2
mismatch, 2
dataset, 2
unable, 2
written, 2
generate, 2
string, 2
import, 2
submit, 2
sequential, 2
multipleoutputs, 2
namenode, 2
calculating, 2
applications, 2
discard, 2
type, 2
cast, 2
collections, 2
connection, 2
method, 2
outputting, 2
web, 2
writing, 2
wrong, 2
excel, 2
filter, 2
simple, 2
create, 2
offset, 2
created, 2
runtime, 2
cloudera, 2
unexpected, 2
distributedcache, 2
emit, 2
user, 2
