id,value
hibernate, 43
oracle, 31
how, 13
sql, 11
db, 9
database, 9
query, 8
spring, 7
data, 6
column, 4
i, 4
select, 4
criteria, 4
connection, 4
quot, 4
table, 4
entity, 4
transaction, 4
sequence, 4
jpa, 4
exception, 3
datasource, 3
key, 3
timestamp, 3
set, 3
procedure, 3
returning, 3
jdbc, 3
tables, 3
large, 3
field, 3
save, 3
values, 3
java, 2
returns, 2
schema, 2
setmaxresults, 2
default, 2
connect, 2
trail, 2
collection, 2
records, 2
ora, 2
org, 2
time, 2
selects, 2
join, 2
driver, 2
dom, 2
sqlexception, 2
foreign, 2
file, 2
return, 2
updating, 2
group, 2
eclipse, 2
oraclesql, 2
blob, 2
insert, 2
error, 2
working, 2
lang, 2
application, 2
