id,value
foreign key, 8
hibernate query, 8
sql query, 7
query hibernate, 6
table hibernate, 4
native sql, 4
hibernate criteria, 3
java hibernate, 3
mysql query, 3
org hibernate, 3
hibernate mysql, 3
primary key, 3
unnecessary queries, 2
table rows, 2
hibernate sql, 2
hibernate unexpected, 2
hibernate mapping, 2
inner join, 2
criteria query, 2
table empty, 2
auto increment, 2
field hibernate, 2
query mysql, 2
update query, 2
sql hibernate, 2
hql query, 2
query select, 2
join table, 2
how write, 2
hibernate select, 2
primary keys, 2
wrong sql, 2
