id,value
gson, 128
json, 101
how, 33
java, 31
object, 24
convert, 18
list, 15
parsing, 13
begin, 13
string, 12
parse, 12
array, 11
objects, 10
expected, 10
deserialize, 9
field, 8
quot, 8
data, 8
google, 7
key, 7
complex, 6
i, 6
multiple, 6
type, 6
map, 6
using, 5
add, 5
fields, 5
custom, 5
serialize, 5
jsonobject, 5
tojson, 5
response, 5
jsonsyntaxexception, 4
creating, 4
deserialization, 4
fromjson, 4
extract, 4
parser, 4
types, 4
property, 4
library, 4
pojo, 4
error, 4
lang, 4
exception, 3
quotes, 3
jsonelement, 3
column, 3
throw, 3
serializing, 3
empty, 3
conversion, 3
illegalstateexception, 3
mapping, 3
retrofit, 3
arrays, 3
strings, 3
get, 3
nested, 3
true, 3
parameter, 3
jsonarray, 3
structure, 3
api, 2
element, 2
unique, 2
compare, 2
customize, 2
attribute, 2
takes, 2
escape, 2
annotation, 2
returning, 2
converting, 2
maps, 2
name, 2
class, 2
false, 2
gt, 2
with, 2
what, 2
mark, 2
xx, 2
named, 2
changing, 2
write, 2
serializedname, 2
deserializing, 2
deserializer, 2
file, 2
stackoverflowerror, 2
typeadapter, 2
instance, 2
lt, 2
create, 2
keys, 2
arbitrary, 2
specific, 2
boolean, 2
