id,value
jackson, 74
json, 57
how, 34
serialization, 32
serialize, 26
custom, 22
gson, 22
deserialization, 19
java, 14
deserialize, 14
objects, 13
field, 13
map, 13
object, 11
serializing, 11
gt, 10
type, 10
serializer, 10
lt, 8
list, 7
deserializing, 7
objectmapper, 6
property, 6
pojo, 6
de, 5
fields, 5
data, 5
properties, 5
using, 4
prevent, 4
jersey, 4
fails, 4
annotated, 4
names, 4
nested, 4
exception, 3
based, 3
schema, 3
key, 3
set, 3
i, 3
unable, 3
exclude, 3
add, 3
string, 3
ignore, 3
write, 3
is, 3
dynamically, 3
enum, 3
entity, 3
annotations, 3
why, 3
fasterxml, 3
serialized, 3
specific, 3
parent, 2
serialising, 2
complex, 2
element, 2
circular, 2
long, 2
jaxb, 2
default, 2
attribute, 2
embedded, 2
call, 2
standard, 2
getter, 2
empty, 2
generate, 2
constructor, 2
extract, 2
polymorphic, 2
interface, 2
graphs, 2
directed, 2
jsonproperty, 2
org, 2
multiple, 2
generic, 2
avoid, 2
base, 2
jsonidentityinfo, 2
case, 2
order, 2
jsonserializable, 2
deserializer, 2
dependencies, 2
pojos, 2
xstream, 2
skip, 2
file, 2
writing, 2
get, 2
change, 2
abstract, 2
subclass, 2
wrapper, 2
jsonobject, 2
create, 2
different, 2
runtime, 2
