id,value
mongodb, 113
spring, 110
data, 58
how, 24
mongo, 23
java, 12
query, 12
document, 9
repository, 9
+, 8
mongotemplate, 8
field, 7
i, 6
collection, 6
multiple, 6
rest, 6
springdata, 5
update, 5
boot, 5
criteria, 5
can, 5
database, 5
working, 5
objects, 4
using, 4
db, 4
aggregation, 4
org, 4
dbref, 4
type, 4
connection, 4
map, 4
springframework, 4
specific, 4
application, 4
cache, 3
nosuchmethoderror, 3
key, 3
set, 3
querying, 3
documents, 3
repositories, 3
fields, 3
types, 3
mongorepository, 3
release, 3
property, 3
mapping, 3
grails, 3
driver, 3
template, 3
save, 3
web, 3
arraylist, 3
entity, 3
return, 3
nested, 3
bean, 3
core, 3
retrieve, 3
insert, 3
exception, 2
auditing, 2
optional, 2
version, 2
archiving, 2
embedded, 2
annotation, 2
autowired, 2
vice, 2
column, 2
queries, 2
m, 2
project, 2
operator, 2
empty, 2
unable, 2
gridfs, 2
check, 2
list, 2
memory, 2
interface, 2
retrieving, 2
getting, 2
class, 2
service, 2
avoid, 2
enable, 2
model, 2
testing, 2
integration, 2
quot, 2
methods, 2
skip, 2
get, 2
framework, 2
instance, 2
versa, 2
combine, 2
corrupted, 2
package, 2
sort, 2
mapreduce, 2
couchdb, 2
request, 2
configuration, 2
amp, 2
security, 2
jackson, 2
mvc, 2
lang, 2
factory, 2
mocked, 2
response, 2
user, 2
