id,value
how, 51
java, 41
swing, 29
i, 19
awt, 16
jpanel, 12
mouse, 12
quot, 12
frame, 11
key, 11
image, 10
jframe, 10
why, 9
d, 8
add, 8
text, 8
window, 8
component, 7
button, 7
create, 7
graphics, 6
gui, 6
working, 6
drawing, 6
event, 6
exception, 5
properly, 5
size, 5
set, 5
multiple, 5
jbutton, 5
screen, 5
press, 5
jtextfield, 5
inside, 5
what, 5
display, 5
moving, 4
click, 4
shape, 4
keylistener, 4
change, 4
actionlistener, 4
keyevent, 4
events, 4
components, 4
full, 4
program, 4
space, 4
user, 4
jcombobox, 3
close, 3
listener, 3
correctly, 3
mouselistener, 3
jtextpane, 3
resize, 3
menuitem, 3
select, 3
release, 3
drag, 3
eventqueue, 3
jcomponent, 3
pressed, 3
listeners, 3
draw, 3
mode, 3
problems, 3
jcheckbox, 3
thread, 3
application, 3
element, 3
jbuttons, 3
jtabbedpane, 3
operation, 3
numbers, 3
vk, 3
color, 3
shapes, 3
gridlayout, 3
item, 3
dynamically, 3
width, 3
jlabel, 3
flickering, 2
setting, 2
numberformatexception, 2
path, 2
delay, 2
trying, 2
panel, 2
behavior, 2
x, 2
dragging, 2
modal, 2
doesn, 2
bufferedimage, 2
bouncing, 2
for, 2
remove, 2
content, 2
getting, 2
lines, 2
custom, 2
triggered, 2
called, 2
action, 2
removing, 2
system, 2
field, 2
jmenubar, 2
file, 2
disable, 2
instance, 2
use, 2
updating, 2
selected, 2
border, 2
vlcj, 2
background, 2
dialog, 2
lang, 2
buttons, 2
api, 2
state, 2
drawn, 2
height, 2
pointer, 2
circle, 2
access, 2
panels, 2
variables, 2
call, 2
bindings, 2
unable, 2
loop, 2
displaying, 2
jmenu, 2
updates, 2
missing, 2
mouseclicked, 2
layout, 2
location, 2
paintcomponent, 2
time, 2
type, 2
when, 2
canvas, 2
images, 2
provide, 2
repaint, 2
get, 2
abstract, 2
tab, 2
rectangle, 2
line, 2
scale, 2
player, 2
amount, 2
