id,value
jbutton, 103
how, 52
button, 45
java, 36
swing, 21
actionlistener, 20
buttons, 20
jbuttons, 18
i, 17
change, 17
size, 13
click, 12
text, 12
add, 10
jtextfield, 10
image, 9
clicked, 9
action, 8
jframe, 8
quot, 8
icon, 7
color, 7
custom, 6
working, 6
display, 6
jpanel, 5
multiple, 5
changing, 5
background, 5
position, 5
actionperformed, 5
on, 5
time, 5
listener, 4
issue, 4
disable, 4
feel, 4
joptionpane, 4
nimbus, 4
inside, 4
gridlayout, 4
event, 4
why, 4
jlabel, 4
variable, 4
set, 3
correctly, 3
adding, 3
area, 3
doesn, 3
cursor, 3
remove, 3
clicks, 3
shape, 3
jtextarea, 3
gui, 3
textfield, 3
jlist, 3
press, 3
loop, 3
program, 3
enable, 3
enter, 3
pressing, 3
create, 3
visible, 3
created, 3
game, 3
values, 3
move, 3
imageicon, 3
user, 3
exception, 2
setting, 2
bind, 2
moving, 2
enabling, 2
component, 2
couple, 2
won, 2
actionevent, 2
making, 2
frame, 2
hover, 2
scope, 2
perform, 2
number, 2
write, 2
pressed, 2
handle, 2
local, 2
implementing, 2
picture, 2
auto, 2
screen, 2
updating, 2
selected, 2
my, 2
focused, 2
problems, 2
amp, 2
best, 2
jlabels, 2
make, 2
application, 2
extending, 2
events, 2
based, 2
using, 2
boxlayout, 2
remaining, 2
components, 2
jtabbedpane, 2
key, 2
texts, 2
unable, 2
actual, 2
look, 2
settext, 2
layout, 2
location, 2
window, 2
calculator, 2
method, 2
resizing, 2
dynamically, 2
throwing, 2
clicking, 2
abstract, 2
lots, 2
width, 2
simple, 2
tab, 2
individual, 2
stays, 2
visually, 2
command, 2
gridbaglayout, 2
