id,value
jframe, 382
how, 127
jpanel, 98
java, 87
i, 60
frame, 57
window, 41
swing, 40
add, 36
button, 33
why, 29
jbutton, 27
close, 25
working, 23
screen, 22
size, 21
quot, 21
showing, 19
change, 19
jdialog, 18
jlabel, 18
set, 18
text, 18
display, 16
jpanels, 16
adding, 16
inside, 16
multiple, 15
image, 15
background, 15
buttons, 14
paint, 14
component, 13
program, 13
won, 13
doesn, 12
gui, 12
displaying, 12
closing, 12
opening, 11
jbuttons, 11
visible, 11
components, 11
jframes, 11
update, 11
repaint, 10
parent, 10
panel, 10
actionlistener, 10
jtextfield, 10
layout, 10
can, 10
setvisible, 9
click, 9
calling, 9
images, 9
clicked, 9
content, 9
form, 9
key, 9
called, 8
top, 8
mouse, 8
drawing, 8
create, 8
minimize, 7
changing, 7
exit, 7
appearing, 7
picture, 7
border, 7
application, 7
panels, 7
color, 7
gridlayout, 7
windows, 7
user, 7
transparent, 7
listener, 7
graphics, 7
resize, 7
jtextarea, 7
file, 7
draw, 7
data, 7
objects, 6
setting, 6
properly, 6
jmenubar, 6
refresh, 6
center, 6
what, 6
time, 6
gridbaglayout, 6
getting, 6
action, 6
is, 6
dispose, 6
setlocation, 6
place, 6
event, 6
variable, 6
moving, 5
frames, 5
x, 5
remove, 5
focus, 5
jcomponent, 5
updating, 5
not, 5
dynamically, 5
clicking, 5
game, 5
bar, 5
icon, 5
load, 5
custom, 5
jscrollpane, 5
contents, 5
keylistener, 5
my, 5
switching, 5
access, 5
current, 5
single, 5
paintcomponent, 5
rectangle, 5
taskbar, 4
left, 4
prevent, 4
movement, 4
jlist, 4
press, 4
using, 4
pack, 4
default, 4
black, 4
call, 4
string, 4
resized, 4
move, 4
pass, 4
false, 4
existing, 4
issue, 4
switch, 4
on, 4
thread, 4
jtabbedpane, 4
variables, 4
coordinates, 4
open, 4
setundecorated, 4
jinternalframe, 4
y, 3
flowlayout, 3
making, 3
child, 3
shape, 3
system, 3
save, 3
function, 3
keyevent, 3
specific, 3
freezing, 3
maximize, 3
displayed, 3
graphic, 3
cardlayout, 3
borderlayout, 3
source, 3
unable, 3
full, 3
start, 3
textarea, 3
when, 3
enter, 3
item, 3
methods, 3
pressing, 3
pane, 3
wrong, 3
terminating, 3
stuff, 3
package, 3
values, 3
imageicon, 3
clear, 3
front, 3
trying, 3
correctly, 3
title, 3
loading, 3
opens, 3
setsize, 3
instance, 3
focused, 3
position, 3
jlabels, 3
dialog, 3
setdefaultcloseoperation, 3
positioning, 3
control, 3
netbeans, 3
middle, 3
launch, 3
closes, 3
closed, 3
settext, 3
previous, 3
popup, 3
location, 3
type, 3
children, 3
method, 3
resizing, 3
scroll, 3
elements, 3
from, 3
link, 3
statements, 3
error, 3
undecorated, 3
half, 2
resolution, 2
textfile, 2
independent, 2
stretched, 2
checkbox, 2
after, 2
d, 2
correct, 2
isn, 2
good, 2
empty, 2
bufferedimage, 2
alignment, 2
label, 2
modify, 2
invisible, 2
responding, 2
number, 2
property, 2
write, 2
pressed, 2
mouseevent, 2
disable, 2
running, 2
reload, 2
super, 2
respond, 2
difference, 2
circle, 2
another, 2
colors, 2
align, 2
white, 2
duplicate, 2
updates, 2
grey, 2
checkboxes, 2
awt, 2
tray, 2
drawstring, 2
case, 2
reset, 2
completely, 2
card, 2
differences, 2
tabs, 2
replace, 2
simple, 2
checked, 2
exiting, 2
manually, 2
eclipse, 2
transfer, 2
pixels, 2
point, 2
restore, 2
translucent, 2
flickering, 2
hierarchy, 2
putting, 2
cursor, 2
blank, 2
random, 2
trouble, 2
passed, 2
class, 2
print, 2
doesnt, 2
inactive, 2
corner, 2
in, 2
removing, 2
field, 2
jradiobutton, 2
table, 2
side, 2
resizable, 2
menu, 2
hide, 2
overlapping, 2
return, 2
auto, 2
split, 2
selected, 2
maximized, 2
fill, 2
permanently, 2
true, 2
errors, 2
code, 2
actionperformed, 2
box, 2
joptionpane, 2
keyboard, 2
attempting, 2
determine, 2
whilst, 2
textbox, 2
sizes, 2
height, 2
based, 2
accept, 2
swingworker, 2
confirm, 2
to, 2
declare, 2
loop, 2
dynamic, 2
wont, 2
incorrectly, 2
revalidate, 2
jmenu, 2
detect, 2
jtable, 2
missing, 2
passing, 2
arranging, 2
jmenuitem, 2
internal, 2
choppy, 2
get, 2
space, 2
tab, 2
bottom, 2
covering, 2
unwanted, 2
